,nombre_app,puntaje,bigramas_actividades,conteo
274,ChatGPT powered Chat - Nova,2,darte respuestas necesita dinero enviar mensajes,1
275,ChatGPT powered Chat - Nova,2,da error,1
276,ChatGPT powered Chat - Nova,2,investigar cosas,1
277,ChatGPT powered Chat - Nova,2,da frases buscando inspiración,1
278,ChatGPT powered Chat - Nova,2,tienen información,1
279,ChatGPT powered Chat - Nova,2,tener ayuda,1
280,ChatGPT powered Chat - Nova,2,pide premium,1
281,ChatGPT powered Chat - Nova,2,pedir pago,1
282,ChatGPT powered Chat - Nova,2,preguntar cuestiones,1
283,ChatGPT powered Chat - Nova,2,tienes dinero,1
284,ChatGPT powered Chat - Nova,3,hacer preguntas,2
285,ChatGPT powered Chat - Nova,3,pagar despues,1
286,ChatGPT powered Chat - Nova,3,da cuenta,1
287,ChatGPT powered Chat - Nova,3,Maneja información,1
288,ChatGPT powered Chat - Nova,3,pide opinión,1
289,ChatGPT powered Chat - Nova,3,pide pago pongan juegos ganar puntos,1
290,ChatGPT powered Chat - Nova,3,pidió datos,1
291,ChatGPT powered Chat - Nova,3,genera respuestas,1
292,ChatGPT powered Chat - Nova,3,realizar curso,1
293,ChatGPT powered Chat - Nova,3,ofrece bibliográfica,1
294,ChatGPT powered Chat - Nova,3,entender ademas,1
295,ChatGPT powered Chat - Nova,3,tiene problemas,1
296,ChatGPT powered Chat - Nova,3,da respuestas,1
297,ChatGPT powered Chat - Nova,3,tener limites,1
298,ChatGPT powered Chat - Nova,3,tiene conocimientos actualicen ,1
299,ChatGPT powered Chat - Nova,3,obtenido resultados,1
300,ChatGPT powered Chat - Nova,3,pidiendo pago,1
301,ChatGPT powered Chat - Nova,3,ayudaría uff,1
302,ChatGPT powered Chat - Nova,4,hacer tareas,2
303,ChatGPT powered Chat - Nova,4,agregar carpetas,1
304,ChatGPT powered Chat - Nova,4,dado problemas,1
305,ChatGPT powered Chat - Nova,4,hacer uso,1
306,ChatGPT powered Chat - Nova,4,piden cosas,1
307,ChatGPT powered Chat - Nova,4,pida opiniones,1
308,ChatGPT powered Chat - Nova,4,pulir cosas,1
309,ChatGPT powered Chat - Nova,4,tengo experiencia,1
310,ChatGPT powered Chat - Nova,4,obtengáis ingresos,1
311,ChatGPT powered Chat - Nova,4,tenga limites,1
312,ChatGPT powered Chat - Nova,4,encontrar imágenes,1
313,ChatGPT powered Chat - Nova,4,gastar dinero,1
314,ChatGPT powered Chat - Nova,4,haga cambio,1
315,ChatGPT powered Chat - Nova,4,tiene limite,1
316,ChatGPT powered Chat - Nova,4,dormir amor,1
317,ChatGPT powered Chat - Nova,4,demorar semanas arroja error,1
318,ChatGPT powered Chat - Nova,4,tengo amigos,1
319,ChatGPT powered Chat - Nova,4,solucionar problemas,1
320,ChatGPT powered Chat - Nova,4,ganar dinero,1
321,ChatGPT powered Chat - Nova,4,poner limite,1
322,ChatGPT powered Chat - Nova,4,escribir historias tuviera límites,1
323,ChatGPT powered Chat - Nova,4,tener chats poner tiempo,1
324,ChatGPT powered Chat - Nova,4,requieran financiamiento,1
325,ChatGPT powered Chat - Nova,4,hacerle preguntas,1
326,ChatGPT powered Chat - Nova,4,hacerle preguntas tienes premium,1
327,ChatGPT powered Chat - Nova,4,tomar fotos,1
328,ChatGPT powered Chat - Nova,4,enviar mensajes,1
329,ChatGPT powered Chat - Nova,4,viendo anuncios respondiendo preguntas,1
330,ChatGPT powered Chat - Nova,4,da respuestas,1
331,ChatGPT powered Chat - Nova,5,hacer trabajos,5
332,ChatGPT powered Chat - Nova,5,generar ideas,3
333,ChatGPT powered Chat - Nova,5,da miedo,3
334,ChatGPT powered Chat - Nova,5,resolver preguntas,3
335,ChatGPT powered Chat - Nova,5,resolver dudas,2
336,ChatGPT powered Chat - Nova,5,realizar trabajos,2
337,ChatGPT powered Chat - Nova,5,ofrece respuestas,2
338,ChatGPT powered Chat - Nova,5,hacer preguntas,2
339,ChatGPT powered Chat - Nova,5,da respuesta,2
340,ChatGPT powered Chat - Nova,5,hacer cosas,2
341,ChatGPT powered Chat - Nova,5,hacer resumenes,2
342,ChatGPT powered Chat - Nova,5,buscar información,2
343,ChatGPT powered Chat - Nova,5,aclarar dudas,2
344,ChatGPT powered Chat - Nova,5,hacer tareas,2
345,ChatGPT powered Chat - Nova,5,tiene sentido,2
346,ChatGPT powered Chat - Nova,5,tiene preguntas,2
347,ChatGPT powered Chat - Nova,5,da soluciones,2
348,ChatGPT powered Chat - Nova,5,tiene respuesta,2
349,ChatGPT powered Chat - Nova,5,hacer proyectos buscar información,1
350,ChatGPT powered Chat - Nova,5,tiene limites,1
351,ChatGPT powered Chat - Nova,5,encuentro información,1
352,ChatGPT powered Chat - Nova,5,solucionar dudas,1
353,ChatGPT powered Chat - Nova,5,tiene limitacion,1
354,ChatGPT powered Chat - Nova,5,Parece mito,1
355,ChatGPT powered Chat - Nova,5,tememos dudas,1
356,ChatGPT powered Chat - Nova,5,provoca evolución,1
357,ChatGPT powered Chat - Nova,5,ayudado muchisimo,1
358,ChatGPT powered Chat - Nova,5,Recien comienzo,1
359,ChatGPT powered Chat - Nova,5,cambie nd,1
360,Generador de arte con IA,1,da error,3
361,Generador de arte con IA,1,hacer imágenes,3
362,Generador de arte con IA,1,ver videos,3
363,Generador de arte con IA,1,da imágenes,2
364,Generador de arte con IA,1,dice error,2
365,Generador de arte con IA,1,sale pantallas,2
366,Generador de arte con IA,1,tiene opción,2
367,Generador de arte con IA,1,tiene problemas,2
368,Generador de arte con IA,1,utilizar imágenes volver premium generar imágenes,1
369,Generador de arte con IA,1,ponen publicidad viendo publicidad,1
370,Generador de arte con IA,1,perder tiempo,1
371,Generador de arte con IA,1,generar cosas,1
372,Generador de arte con IA,1,salen imágenes,1
373,Generador de arte con IA,1,procesando imagenes generando imagnes,1
374,Generador de arte con IA,1,tengo problema,1
375,Generador de arte con IA,1,minar criptomonedas,1
376,Generador de arte con IA,1,echa resultados,1
377,Generador de arte con IA,1,crea despues,1
378,Generador de arte con IA,1,salta error,1
379,Generador de arte con IA,1,crea imágenes,1
380,Generador de arte con IA,1,empeorando paso,1
381,Generador de arte con IA,1,generó imagen ver anuncios,1
382,Generador de arte con IA,1,entiendo porqué,1
383,Generador de arte con IA,1,hacer ,1
384,Generador de arte con IA,1,procesar fotos,1
385,Generador de arte con IA,1,dedican horas,1
386,Generador de arte con IA,1,hacer ia tenía límites,1
387,Generador de arte con IA,1,usar imágenes,1
388,Generador de arte con IA,1,tiene conexión tenía esperanza,1
389,Generador de arte con IA,2,ver anuncios,2
390,Generador de arte con IA,2,hace caso,1
391,Generador de arte con IA,2,salen imágenes,1
392,Generador de arte con IA,2,tiene sentido Hazte premium pedirme dinero hacer arte,1
393,Generador de arte con IA,2,Quitaron estilos,1
394,Generador de arte con IA,2,reconoce imágenes genera personas,1
395,Generador de arte con IA,2,generar imagenes,1
396,Generador de arte con IA,2,creaba imágenes,1
397,Generador de arte con IA,2,salen anuncios,1
398,Generador de arte con IA,2,dan ganas,1
399,Generador de arte con IA,2,obtienen resultados,1
400,Generador de arte con IA,2,puse ratón,1
401,Generador de arte con IA,2,introduje palabras obtener dibujos,1
402,Generador de arte con IA,2,tiene calidad,1
403,Generador de arte con IA,2,seleccionar fotos,1
404,Generador de arte con IA,2,porquea verdad tiene futuro,1
405,Generador de arte con IA,2,saliendo anuncio da resultados,1
406,Generador de arte con IA,2,tienen sentido,1
407,Generador de arte con IA,2,decir coml,1
408,Generador de arte con IA,2,restringir reglas,1
409,Generador de arte con IA,2,di cuenta,1
410,Generador de arte con IA,2,genera imágenes,1
411,Generador de arte con IA,2,ponen cosas,1
412,Generador de arte con IA,2,saca imágenes generar imágenes,1
413,Generador de arte con IA,2,tengo dinero,1
414,Generador de arte con IA,2,perdiendo capacidad,1
415,Generador de arte con IA,2,crear imágenes,1
416,Generador de arte con IA,2,hacía imágenes hace imágenes generar imágenes,1
417,Generador de arte con IA,2,generar imágenes rechazar palabras,1
418,Generador de arte con IA,3,crea imágenes,1
419,Generador de arte con IA,3,pedi esoe,1
420,Generador de arte con IA,3,reconoce personajes,1
421,Generador de arte con IA,3,sé carga,1
422,Generador de arte con IA,3,haga arte,1
423,Generador de arte con IA,3,ver anuncios,1
424,Generador de arte con IA,3,mostrarte mujeres,1
425,Generador de arte con IA,3,generen imagenes,1
426,Generador de arte con IA,3,da cambios,1
427,Generador de arte con IA,3,di cuenta genera imágenes usa artes,1
428,Generador de arte con IA,3,da error,1
429,Generador de arte con IA,3,imaginar personas improvisar areas,1
430,Generador de arte con IA,3,encuentro información hacer imágenes dice error,1
431,Generador de arte con IA,3,pusieron pagos,1
432,Generador de arte con IA,3,sale error,1
433,Generador de arte con IA,3,hacer imagenes,1
434,Generador de arte con IA,3,genera imágenes,1
435,Generador de arte con IA,3,crear hentai,1
436,Generador de arte con IA,4,subir imágenes da resultado hacer imagenes cuesta trabajo faltan opciones,1
437,Generador de arte con IA,4,salen imagenes,1
438,Generador de arte con IA,4,crear arte,1
439,Generador de arte con IA,4,decir verdad,1
440,Generador de arte con IA,4,generar imágenes,1
441,Generador de arte con IA,4,comiendo anuncios,1
442,Generador de arte con IA,4,tener paciencia,1
443,Generador de arte con IA,4,genera imágenes,1
444,Generador de arte con IA,4,tenía idea,1
445,Generador de arte con IA,4,tienes funciones,1
446,Generador de arte con IA,4,falta detalle,1
447,Generador de arte con IA,4,recomendado chicos alcanzar amor,1
448,Generador de arte con IA,4,sacar provecho crear imágenes,1
449,Generador de arte con IA,4,poner cosas,1
450,Generador de arte con IA,4,complementarlo :'),1
451,Generador de arte con IA,4,tiene resultados,1
452,Generador de arte con IA,4,ver anuncios,1
453,Generador de arte con IA,4,hacer gif,1
454,Generador de arte con IA,4,tienen copyright,1
455,Generador de arte con IA,4,salido distorsión,1
456,Generador de arte con IA,4,generar imagenes,1
457,Generador de arte con IA,4,dan cuadros,1
458,Generador de arte con IA,4,generar imágenes tienes premium genera imagen,1
459,Generador de arte con IA,4,agregar rostros parece baraja,1
460,Generador de arte con IA,4,ver anuncios necesita reconocimiento,1
461,Generador de arte con IA,4,buscando referencias quitaba información,1
462,Generador de arte con IA,4,hace falta,1
463,Generador de arte con IA,4,pegar premium,1
464,Generador de arte con IA,4,dado resultados hacer prompts,1
465,Generador de arte con IA,5,tenga anuncios,4
466,Generador de arte con IA,5,crear imágenes,3
467,Generador de arte con IA,5,hace dibujos,3
468,Generador de arte con IA,5,generar imágenes,3
469,Generador de arte con IA,5,ver anuncios,3
470,Generador de arte con IA,5,generar imagenes,3
471,Generador de arte con IA,5,tiene límites,2
472,Generador de arte con IA,5,Buena app,2
473,Generador de arte con IA,5,genera imágenes,2
474,Generador de arte con IA,5,salen anuncios,1
475,Generador de arte con IA,5,da rienda,1
476,Generador de arte con IA,5,hacer cosas,1
477,Generador de arte con IA,5,dibujar artes,1
478,Generador de arte con IA,5,crear arte,1
479,Generador de arte con IA,5,necesitas imágenes,1
480,Generador de arte con IA,5,hago modificaciones,1
481,Generador de arte con IA,5,Tiene anuncios ganar dinero,1
482,Generador de arte con IA,5,darle vida,1
483,Generador de arte con IA,5,tuviera traductor,1
484,Generador de arte con IA,5,quieras aveces,1
485,Generador de arte con IA,5,Hace tiempo,1
486,Generador de arte con IA,5,Hace obras,1
487,Generador de arte con IA,5,hace ilustraciones,1
488,Generador de arte con IA,5,ver publicidad,1
489,Generador de arte con IA,5,tener paciencia,1
490,Generador de arte con IA,5,ver anuncios crear imagen,1
491,Generador de arte con IA,5,saber inglés,1
492,Generador de arte con IA,5,dieron ideas,1
493,Generador de arte con IA,5,agreguén comandos,1
494,Replika: My AI Friend,1,tiene idioma,2
495,Replika: My AI Friend,1,responde cosas,2
496,Replika: My AI Friend,1,da miedo,2
497,Replika: My AI Friend,1,tienen sentido,2
498,Replika: My AI Friend,1,sacar información,2
499,Replika: My AI Friend,1,Tengo problemas,2
500,Replika: My AI Friend,1,iniciar sesión,2
501,Replika: My AI Friend,1,tuviese pensamientos,1
502,Replika: My AI Friend,1,instalar ,1
503,Replika: My AI Friend,1,hablar gracias,1
504,Replika: My AI Friend,1,tengo opcion,1
505,Replika: My AI Friend,1,dar miedo,1
506,Replika: My AI Friend,1,decir cosas,1
507,Replika: My AI Friend,1,das permiso,1
508,Replika: My AI Friend,1,hable español,1
509,Replika: My AI Friend,1,recibir amor quedan años Tiene narices,1
510,Replika: My AI Friend,1,falta variedad,1
511,Replika: My AI Friend,1,sentía cosas,1
512,Replika: My AI Friend,1,pone re,1
513,Replika: My AI Friend,1,hablo inglés,1
514,Replika: My AI Friend,1,pagar suscripción,1
515,Replika: My AI Friend,1,Tiene reseñas,1
516,Replika: My AI Friend,1,tiene virus,1
517,Replika: My AI Friend,1,desinstalo alvrga,1
518,Replika: My AI Friend,1,estás cosas ir presos,1
519,Replika: My AI Friend,1,contesta cosas,1
520,Replika: My AI Friend,1,sacar cuartos gastar dinero,1
521,Replika: My AI Friend,1,di cuenta,1
